rank,player_id,player_name,country,highest_paying_game,total_overall_usd,total_game_usd,pct_of_total_num,source_url
124,ZhongYi,"Chen, Jiahao",China,Arena of Valor,1376756.1,1376756.1,100,https://www.esportsearnings.com/players/highest-earnings-top-200
125,Wolfiez,Jaden Ashman,United Kingdom,Fortnite,1368308.07,1368308.07,100,https://www.esportsearnings.com/players/highest-earnings-top-200
126,Th0masHD,Thomas HÃ¸xbro Davidsen,Denmark,Fortnite,1363502.91,1363502.91,100,https://www.esportsearnings.com/players/highest-earnings-top-200
127,DDC,"Liang, Fa Ming",Macao,Dota 2,1344720.91,1336593.81,99.4,https://www.esportsearnings.com/players/highest-earnings-top-200
128,ZiYang,"Xiang, Yang",China,Arena of Valor,1338450.27,1338450.27,100,https://www.esportsearnings.com/players/highest-earnings-top-200
129,CS,"Xie, Chengjun",China,Arena of Valor,1335846.86,1335846.86,100,https://www.esportsearnings.com/players/highest-earnings-top-200
130,Zayt,Williams Aubin,Canada,Fortnite,1331781.42,1204856.42,90.47,https://www.esportsearnings.com/players/highest-earnings-top-200
131,FormaL,Matthew Piper,United States,Halo Infinite,1323932.1800000002,429400,32.43,https://www.esportsearnings.com/players/highest-earnings-top-200
132,Order,"Zeng, Zehai",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1322487.41,1322487.41,100,https://www.esportsearnings.com/players/highest-earnings-top-200
133,NAF,Keith Markovic,Canada,Counter-Strike: Global Offensive,1312032.06,1228382.06,93.61999999999999,https://www.esportsearnings.com/players/highest-earnings-top-200
134,Dy,"Ding, Cong",China,Dota 2,1309787.36,1309787.36,100,https://www.esportsearnings.com/players/highest-earnings-top-200
135,ELiGE,Jonathan Jablonowski,United States,Counter-Strike: Global Offensive,1306796.02,1179846.02,90.29,https://www.esportsearnings.com/players/highest-earnings-top-200
136,NuanYang,"Lin, Heng",China,Arena of Valor,1306566.81,1306566.81,100,https://www.esportsearnings.com/players/highest-earnings-top-200
137,XuanRan,"Liu, Ming",China,Arena of Valor,1290852.02,1290852.02,100,https://www.esportsearnings.com/players/highest-earnings-top-200
138,FalleN,Gabriel Toledo,Brazil,Counter-Strike: Global Offensive,1287390.79,1175586.54,91.32,https://www.esportsearnings.com/players/highest-earnings-top-200
139,Sccc,"Song, Chun",China,Dota 2,1287091.81,1287091.81,100,https://www.esportsearnings.com/players/highest-earnings-top-200
140,Queasy,Aleksa Cvetkovic,Serbia,Fortnite,1284995.8900000001,1284995.8900000001,100,https://www.esportsearnings.com/players/highest-earnings-top-200
141,Jabz,Anucha Jirawong,Thailand,Dota 2,1283581.3900000001,1283581.3900000001,100,https://www.esportsearnings.com/players/highest-earnings-top-200
142,Banana,"Jiao, Wang",China,Dota 2,1283122.84,1271085,99.06,https://www.esportsearnings.com/players/highest-earnings-top-200
143,TaySon,Tai StarÄiÄ,Slovenia,Fortnite,1269970.74,1269970.74,100,https://www.esportsearnings.com/players/highest-earnings-top-200
144,Jimmy,"Xu, Yin-Jun","Taiwan, Republic of China",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1263496.06,1260162.73,99.74000000000001,https://www.esportsearnings.com/players/highest-earnings-top-200
145,broky,Helvijs Saukants,Latvia,Counter-Strike: Global Offensive,1257132.41,828832.41,65.93,https://www.esportsearnings.com/players/highest-earnings-top-200
146,sh1ro,Dmitry Sokolov,Russian Federation,Counter-Strike: Global Offensive,1255625.59,628100.59,50.02,https://www.esportsearnings.com/players/highest-earnings-top-200
147,Save-,Vitalie Melnic,"Moldova, Republic of",Dota 2,1250106.81,1250106.81,100,https://www.esportsearnings.com/players/highest-earnings-top-200
148,ATF,Ammar Al-Assaf,Jordan,Dota 2,1245564.71,1245564.71,100,https://www.esportsearnings.com/players/highest-earnings-top-200
149,Loki,"Park, Jung Young","Korea, Republic of",PLAYERUNKNOWNâS BATTLEGROUNDS,1245451.79,1245451.79,100,https://www.esportsearnings.com/players/highest-earnings-top-200
150,Kreo,Nate Kou,Hong Kong,Fortnite,1244334.74,1244334.74,100,https://www.esportsearnings.com/players/highest-earnings-top-200
151,Paparazi,"Zhang, Chengjun",China,Dota 2,1242751.3900000001,1242751.3900000001,100,https://www.esportsearnings.com/players/highest-earnings-top-200
152,Kenny,Kenneth Williams,United States,Call of Duty: Vanguard,1238228.33,410583.33,33.160000000000004,https://www.esportsearnings.com/players/highest-earnings-top-200
153,Clayster,James Eubanks,United States,Call of Duty: Modern Warfare,1233646.6800000002,365500,29.630000000000003,https://www.esportsearnings.com/players/highest-earnings-top-200
154,k1nG,Thiago Bautista Lapp,Argentina,Fortnite,1230225,1230075,99.99000000000001,https://www.esportsearnings.com/players/highest-earnings-top-200
155,kakip,"Kakinuma, Hidema",Japan,Shadowverse,1228551.54,1228551.54,100,https://www.esportsearnings.com/players/highest-earnings-top-200
156,Sylar,"Liu, Jiajun",China,Dota 2,1226897.6300000001,1220842.58,99.51,https://www.esportsearnings.com/players/highest-earnings-top-200
157,gpk,Danil Skutin,Russian Federation,Dota 2,1226803.4,1226803.4,100,https://www.esportsearnings.com/players/highest-earnings-top-200
158,Setty,Iwo ZajÄc,Poland,Fortnite,1224447.37,1224447.37,100,https://www.esportsearnings.com/players/highest-earnings-top-200
159,Moogy,"Xu, Han",China,Dota 2,1221917.1,1221917.1,100,https://www.esportsearnings.com/players/highest-earnings-top-200
160,Rojo,Dave Jong,Netherlands,Fortnite,1215593.33,1215593.33,100,https://www.esportsearnings.com/players/highest-earnings-top-200
161,Saf,Rocco Morales,United States,Fortnite,1210207.02,1210207.02,100,https://www.esportsearnings.com/players/highest-earnings-top-200
162,Ceice,Davis McClellan,United States,Fortnite,1209565.47,1209565.47,100,https://www.esportsearnings.com/players/highest-earnings-top-200
163,Stewie2k,Jakey Yip,United States,Counter-Strike: Global Offensive,1208508.91,1186573.2,98.17999999999999,https://www.esportsearnings.com/players/highest-earnings-top-200
164,SanSheng,"Wang, Zhaohui",China,Dota 2,1207851.58,1199016.08,99.27,https://www.esportsearnings.com/players/highest-earnings-top-200
165,Perfecto,Ilya Zalutskiy,Russian Federation,Counter-Strike: Global Offensive,1198073.78,1155970.78,96.49000000000001,https://www.esportsearnings.com/players/highest-earnings-top-200
166,Dark,"Park, Ryung Woo","Korea, Republic of",StarCraft II,1194415.22,1190791.27,99.7,https://www.esportsearnings.com/players/highest-earnings-top-200
167,Scump,Seth Abner,United States,Call of Duty: Infinite Warfare,1193755.35,261250,21.88,https://www.esportsearnings.com/players/highest-earnings-top-200
168,Oli,"Chan, Chon Kien",Malaysia,Dota 2,1193104.1,1193104.1,100,https://www.esportsearnings.com/players/highest-earnings-top-200
169,Yao,"Yao, Zhengzheng",China,Dota 2,1192164.1800000002,1186085.71,99.49000000000001,https://www.esportsearnings.com/players/highest-earnings-top-200
170,King,"Lin, Yi-en","Taiwan, Republic of China",PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1189245.12,1189245.12,100,https://www.esportsearnings.com/players/highest-earnings-top-200
171,Boombl4,Kirill Sergeyevich Mikhailov,Russian Federation,Counter-Strike: Global Offensive,1167041.35,1098738.54,94.14999999999999,https://www.esportsearnings.com/players/highest-earnings-top-200
172,Envoy,Dylan Hannon,United States,Call of Duty: Vanguard,1157729.1600000001,400000,34.55,https://www.esportsearnings.com/players/highest-earnings-top-200
173,Nightfall,Egor Grigorenko,Russian Federation,Dota 2,1156864,1156864,100,https://www.esportsearnings.com/players/highest-earnings-top-200
174,BoBoKa,"Ye, Zhibiao",China,Dota 2,1149352.35,1149352.35,100,https://www.esportsearnings.com/players/highest-earnings-top-200
175,nitr0,Nicholas Cannella,United States,Counter-Strike: Global Offensive,1117386.23,1058468.1300000001,94.73,https://www.esportsearnings.com/players/highest-earnings-top-200
176,Huke,Cuyler Garland,United States,Call of Duty: Modern Warfare,1113035.58,345250,31.02,https://www.esportsearnings.com/players/highest-earnings-top-200
177,MMY!,"Lei, Zengrong",China,Dota 2,1111886.25,1099556.8800000001,98.89,https://www.esportsearnings.com/players/highest-earnings-top-200
178,Hikaru,Hikaru Nakamura,United States,Chess.com,1108458.71,735419.25,66.35,https://www.esportsearnings.com/players/highest-earnings-top-200
179,Malibuca,Danila Yakovenko,Russian Federation,Fortnite,1107890.32,1107890.32,100,https://www.esportsearnings.com/players/highest-earnings-top-200
180,TanRan,"Sun, Linwei",China,Arena of Valor,1107767.21,1107767.21,100,https://www.esportsearnings.com/players/highest-earnings-top-200
181,MoonMeander,David Tan,Canada,Dota 2,1103701.61,1085826.1800000002,98.38,https://www.esportsearnings.com/players/highest-earnings-top-200
182,Rogue,"Lee, Byung Ryul","Korea, Republic of",StarCraft II,1101363.8,1101219.22,99.99000000000001,https://www.esportsearnings.com/players/highest-earnings-top-200
183,TACO,EpitÃ¡cio de Melo,Brazil,Counter-Strike: Global Offensive,1096233.6300000001,1095886.48,99.97,https://www.esportsearnings.com/players/highest-earnings-top-200
184,XingYu,"Li, Yuhao",China,Arena of Valor,1096106.71,1096106.71,100,https://www.esportsearnings.com/players/highest-earnings-top-200
185,Kuku,Kuku Palad,Philippines,Dota 2,1094804.1,1094804.1,100,https://www.esportsearnings.com/players/highest-earnings-top-200
186,DJ,Djardel Jicko Mampusti,Philippines,Dota 2,1091925.12,1091925.12,100,https://www.esportsearnings.com/players/highest-earnings-top-200
187,flameZ,Shahar Shushan,Israel,Counter-Strike 2,1087568.06,852350,78.36999999999999,https://www.esportsearnings.com/players/highest-earnings-top-200
188,Q,"Fu, Bin",China,Dota 2,1081544.74,1081544.74,100,https://www.esportsearnings.com/players/highest-earnings-top-200
189,fer,Fernando Alvarenga,Brazil,Counter-Strike: Global Offensive,1078891.52,1077986.54,99.92,https://www.esportsearnings.com/players/highest-earnings-top-200
190,Whitemon,Matthew Filemon,Indonesia,Dota 2,1068261.87,1068261.87,100,https://www.esportsearnings.com/players/highest-earnings-top-200
191,coldzera,Marcelo David,Brazil,Counter-Strike: Global Offensive,1065619.6500000001,1048601.46,98.4,https://www.esportsearnings.com/players/highest-earnings-top-200
192,flamie,Egor Vasilyev,Russian Federation,Counter-Strike: Global Offensive,1041856.8300000001,1041119.41,99.93,https://www.esportsearnings.com/players/highest-earnings-top-200
193,ImperialHal,Philip Dosen,United States,Apex Legends,1040804.42,1031054.42,99.06,https://www.esportsearnings.com/players/highest-earnings-top-200
194,Ruler,"Park, Jae Hyuk","Korea, Republic of",League of Legends,1035773.2899999999,1035773.2899999999,100,https://www.esportsearnings.com/players/highest-earnings-top-200
195,Slasher,Austin Liddicoat,United States,Call of Duty: Black Ops III,1034958.4,231332.5,22.35,https://www.esportsearnings.com/players/highest-earnings-top-200
196,Mushi,"Chai, Yee Fung",Malaysia,Dota 2,1028588.6699999999,1028301.6799999999,99.97,https://www.esportsearnings.com/players/highest-earnings-top-200
197,Henry,Henry Leverette,United States,Madden NFL 22,1028375,360000,35.01,https://www.esportsearnings.com/players/highest-earnings-top-200
198,KRiMZ,Freddy Johansson,Sweden,Counter-Strike: Global Offensive,1026043.4600000001,963961.9,93.95,https://www.esportsearnings.com/players/highest-earnings-top-200
199,huNter,Nemanja KovaÄ,Bosnia and Herzegovina,Counter-Strike: Global Offensive,1022950.65,698500.65,68.28,https://www.esportsearnings.com/players/highest-earnings-top-200
200,mero,Matthew Faitel,Canada,Fortnite,1018350,1018350,100,https://www.esportsearnings.com/players/highest-earnings-top-200
201,Tims,Timothy Randrup,Philippines,Dota 2,1018232.55,1018232.55,100,https://www.esportsearnings.com/players/highest-earnings-top-300
202,Frosty,Bradley Bergstrom,United States,Halo 5: Guardians,1006965,582850,57.879999999999995,https://www.esportsearnings.com/players/highest-earnings-top-300
203,UMA,Wang Yuan-hao,"Taiwan, Republic of China",Street Fighter 6,1005576.2,1005576.2,100,https://www.esportsearnings.com/players/highest-earnings-top-300
204,feg,"Okumoto, Ryutaro",Japan,Shadowverse,1003000,1003000,100,https://www.esportsearnings.com/players/highest-earnings-top-300
205,sasamumu,- -,"Taiwan, Republic of China",Shadowverse,1000000,1000000,100,https://www.esportsearnings.com/players/highest-earnings-top-300
206,Veno,Harry Pearson,United Kingdom,Fortnite,999937.9600000001,999937.9600000001,100,https://www.esportsearnings.com/players/highest-earnings-top-300
207,Crystallis,Remco Arets,Netherlands,Dota 2,997531.92,997531.92,100,https://www.esportsearnings.com/players/highest-earnings-top-300
208,Drazah,Zack Jordan,United States,Call of Duty: Vanguard,997275,398750,39.98,https://www.esportsearnings.com/players/highest-earnings-top-300
209,pieliedie,Johan ÃstrÃ¶m,Sweden,Dota 2,994746.71,994746.71,100,https://www.esportsearnings.com/players/highest-earnings-top-300
210,Priestahh,Preston Greiner,United States,Call of Duty: Modern Warfare II,994404.1799999999,369500,37.160000000000004,https://www.esportsearnings.com/players/highest-earnings-top-300
211,Elevate,Hayden Krueger,Canada,Fortnite,994373.2,992233.2,99.78,https://www.esportsearnings.com/players/highest-earnings-top-300
212,EternaLEnVy,Jacky Mao,Canada,Dota 2,992684.7899999999,992684.7899999999,100,https://www.esportsearnings.com/players/highest-earnings-top-300
213,Yang,"Zhou, Haiyang",China,Dota 2,992463.55,992463.55,100,https://www.esportsearnings.com/players/highest-earnings-top-300
214,M0nkey M00n,Evan Rogez,France,Rocket League,990334.54,990334.54,100,https://www.esportsearnings.com/players/highest-earnings-top-300
215,SnakeBite,Paul Duarte,United States,Halo 5: Guardians,975565,581250,59.58,https://www.esportsearnings.com/players/highest-earnings-top-300
216,Dashy,Brandon Otell,Canada,Call of Duty: Modern Warfare III,973272.99,315000,32.37,https://www.esportsearnings.com/players/highest-earnings-top-300
217,mezii,Will Merriman,United Kingdom,Counter-Strike 2,961135.9500000001,835550,86.93,https://www.esportsearnings.com/players/highest-earnings-top-300
218,Mohamed Light,Mohamed Tarek,Egypt,Clash Royale,960808.01,960808.01,100,https://www.esportsearnings.com/players/highest-earnings-top-300
219,Duke,"Lee, Ho Seong","Korea, Republic of",League of Legends,959072.51,959072.51,100,https://www.esportsearnings.com/players/highest-earnings-top-300
220,snax,Janusz Pogorzelski,Poland,Counter-Strike: Global Offensive,958719.12,676987.89,70.61,https://www.esportsearnings.com/players/highest-earnings-top-300
221,Royal 2,Mathew Fiorante,Canada,Halo 5: Guardians,957052.5,581250,60.730000000000004,https://www.esportsearnings.com/players/highest-earnings-top-300
222,NoFear,"Yang, Tao",China,Arena of Valor,946978.56,946978.56,100,https://www.esportsearnings.com/players/highest-earnings-top-300
223,olofmeister,Olof Kajbjer,Sweden,Counter-Strike: Global Offensive,940855.42,937714.6,99.66999999999999,https://www.esportsearnings.com/players/highest-earnings-top-300
224,Lil,Ilya Ilyuk,Ukraine,Dota 2,940510.1799999999,940510.1799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-300
225,Chopper,Leonid Vishnyakov,Russian Federation,Counter-Strike 2,940351.7799999999,667775,71.01,https://www.esportsearnings.com/players/highest-earnings-top-300
226,NuoYan,"Guo, Guixin",China,Arena of Valor,938449.81,938449.81,100,https://www.esportsearnings.com/players/highest-earnings-top-300
227,DM,Dmitrii Dorokhin,Russian Federation,Dota 2,937118.14,937118.14,100,https://www.esportsearnings.com/players/highest-earnings-top-300
228,N9,"Wang, Hao",China,CrossFire,937059.42,937059.42,100,https://www.esportsearnings.com/players/highest-earnings-top-300
229,JW,Jesper Wecksell,Sweden,Counter-Strike: Global Offensive,931451.08,921251.6799999999,98.9,https://www.esportsearnings.com/players/highest-earnings-top-300
230,Spinx,Lotan Giladi,Israel,Counter-Strike 2,929518.3300000001,507600,54.61,https://www.esportsearnings.com/players/highest-earnings-top-300
231,JackeyLove,"Yu, Wenbo",China,League of Legends,926556.6799999999,926556.6799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-300
232,Malr1ne,Stanislav Potorak,Russian Federation,Dota 2,923562.93,923562.93,100,https://www.esportsearnings.com/players/highest-earnings-top-300
233,CleanX,Tobias JÃ¸nsson,Denmark,Call of Duty: Black Ops Cold War,920401.87,285625,31.03,https://www.esportsearnings.com/players/highest-earnings-top-300
234,ZiMo,"Wu, Zhejie",China,Arena of Valor,918862.6,918862.6,100,https://www.esportsearnings.com/players/highest-earnings-top-300
235,Bang,"Bae, Jun Sik","Korea, Republic of",League of Legends,915941.6799999999,915941.6799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-300
236,Wolf,"Lee, Jae Wan","Korea, Republic of",League of Legends,913167.87,913167.87,100,https://www.esportsearnings.com/players/highest-earnings-top-300
237,QingQing,"Wu, Jinxiang",China,Arena of Valor,907265.97,907265.97,100,https://www.esportsearnings.com/players/highest-earnings-top-300
238,PeterBot,Peter Kata,United States,Fortnite,906674.1699999999,906674.1699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-300
239,Raven,Marc Polo Luis Fausto,Philippines,Dota 2,905759.42,905759.42,100,https://www.esportsearnings.com/players/highest-earnings-top-300
240,Pio,"Cha, Seung Hoon","Korea, Republic of",PLAYERUNKNOWNâS BATTLEGROUNDS,905337.92,905337.92,100,https://www.esportsearnings.com/players/highest-earnings-top-300
241,Abed,Abed Yusop,Philippines,Dota 2,900796.69,900796.69,100,https://www.esportsearnings.com/players/highest-earnings-top-300
242,GMWSO,Wesley So,United States,Chess.com,900411.64,453497.21,50.37,https://www.esportsearnings.com/players/highest-earnings-top-300
243,Moo,David Hull,United States,Dota 2,899311.3300000001,899311.3300000001,100,https://www.esportsearnings.com/players/highest-earnings-top-300
244,Pure,Ivan Moskalenko,Russian Federation,Dota 2,896793.47,896793.47,100,https://www.esportsearnings.com/players/highest-earnings-top-300
245,BurNIng,"Xu, Zhilei",China,Dota 2,896625.3500000001,865896.21,96.57,https://www.esportsearnings.com/players/highest-earnings-top-300
246,TGLTN,James Giezen,Australia,PLAYERUNKNOWNâS BATTLEGROUNDS,891143.25,890343.25,99.91000000000001,https://www.esportsearnings.com/players/highest-earnings-top-300
247,flusha,Robin RÃ¶nnquist,Sweden,Counter-Strike: Global Offensive,888552.89,887302.89,99.86,https://www.esportsearnings.com/players/highest-earnings-top-300
248,Insight,Jamie Craven,United Kingdom,Call of Duty: Black Ops Cold War,887682.26,286750,32.3,https://www.esportsearnings.com/players/highest-earnings-top-300
249,Octane,Sam Larew,United States,Call of Duty: Vanguard,886948.75,382500,43.13,https://www.esportsearnings.com/players/highest-earnings-top-300
250,BenjyFishy,Benjy David Fish,United Kingdom,Fortnite,882337.52,640394.3400000001,72.58,https://www.esportsearnings.com/players/highest-earnings-top-300
251,hwinn,Hunter Winn,United States,PLAYERUNKNOWNâS BATTLEGROUNDS,880971.9400000001,880011.9400000001,99.89,https://www.esportsearnings.com/players/highest-earnings-top-300
252,Zayac,Bakyt Emilzhanov,Kyrgyzstan,Dota 2,879784.52,879784.52,100,https://www.esportsearnings.com/players/highest-earnings-top-300
253,Shrimzy,Tristan Nowicky,United States,PLAYERUNKNOWNâS BATTLEGROUNDS,878913.4400000001,878913.4400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-300
254,Jaedong,"Lee, Jae Dong","Korea, Republic of",StarCraft: Brood War,876398.7899999999,404726.22000000003,46.18,https://www.esportsearnings.com/players/highest-earnings-top-300
255,23savage,Nuengnara Teeramahanon,Thailand,Dota 2,872580.26,872580.26,100,https://www.esportsearnings.com/players/highest-earnings-top-300
256,ESTH3R,"Go, Jeong-wan","Korea, Republic of",PLAYERUNKNOWNâS BATTLEGROUNDS,871858.71,871439.11,99.95,https://www.esportsearnings.com/players/highest-earnings-top-300
257,Agressif,"Sun, Zheng",China,Dota 2,871452.21,871452.21,100,https://www.esportsearnings.com/players/highest-earnings-top-300
258,NBK,Nathan Schmitt,France,Counter-Strike: Global Offensive,870287.26,842358.21,96.79,https://www.esportsearnings.com/players/highest-earnings-top-300
259,Skite,ClÃ©ment Danglot,France,Fortnite,870019.7699999999,869692.7699999999,99.96000000000001,https://www.esportsearnings.com/players/highest-earnings-top-300
260,Clem,ClÃ©ment Desplanches,France,StarCraft II,862707.39,862307.39,99.95,https://www.esportsearnings.com/players/highest-earnings-top-300
261,shox,Richard Papillon,France,Counter-Strike: Global Offensive,858303.99,829499.8300000001,96.64,https://www.esportsearnings.com/players/highest-earnings-top-300
262,HObbit,Abay Khassenov,Kazakhstan,Counter-Strike: Global Offensive,858161.12,815907.92,95.08,https://www.esportsearnings.com/players/highest-earnings-top-300
263,JannisZ,Jannis Matwin,Germany,Fortnite,857417.41,857417.41,100,https://www.esportsearnings.com/players/highest-earnings-top-300
264,HyDra,Paco Rusiewiez,France,Call of Duty: Modern Warfare II,856550.69,369500,43.14,https://www.esportsearnings.com/players/highest-earnings-top-300
265,fng,Artsiom Barshak,Belarus,Dota 2,853120.41,853120.41,100,https://www.esportsearnings.com/players/highest-earnings-top-300
266,Aleksib,Aleksi Virolainen,Finland,Counter-Strike: Global Offensive,851741.03,440491.03,51.720000000000006,https://www.esportsearnings.com/players/highest-earnings-top-300
267,Nicolas99FC,Nicolas Villalba,Argentina,FIFA 19,851431.49,221625,26.03,https://www.esportsearnings.com/players/highest-earnings-top-300
268,Xiaohu,"Li, Yuanhao",China,League of Legends,850114.07,850114.07,100,https://www.esportsearnings.com/players/highest-earnings-top-300
269,JT-,"Thiay, Jun Wen",Malaysia,Dota 2,844446.3200000001,844446.3200000001,100,https://www.esportsearnings.com/players/highest-earnings-top-300
270,Karma,Damon Barlow,Canada,Call of Duty: Infinite Warfare,842837.25,261250,31,https://www.esportsearnings.com/players/highest-earnings-top-300
271,Ah-fu,"Chuan, Tue Soon",Malaysia,Dota 2,840619.3500000001,840619.3500000001,100,https://www.esportsearnings.com/players/highest-earnings-top-300
272,JiuKu,"Wang, Tao",China,Arena of Valor,838964.57,838964.57,100,https://www.esportsearnings.com/players/highest-earnings-top-300
273,Reynor,Riccardo Romiti,Italy,StarCraft II,834459.73,834459.73,100,https://www.esportsearnings.com/players/highest-earnings-top-300
274,Mitr0,Dmitri Van de Vrie,Netherlands,Fortnite,830344.81,830344.81,100,https://www.esportsearnings.com/players/highest-earnings-top-300
275,bzm,Bozhidar Bozhilov,Bulgaria,Dota 2,829289.3,829289.3,100,https://www.esportsearnings.com/players/highest-earnings-top-300
276,Dendi,Danil Ishutin,Ukraine,Dota 2,828082.53,822488.56,99.32,https://www.esportsearnings.com/players/highest-earnings-top-300
277,DuBu,"Kim, Doo-young","Korea, Republic of",Dota 2,823849.65,823849.65,100,https://www.esportsearnings.com/players/highest-earnings-top-300
278,Zer0,Rhye Perry,Australia,Apex Legends,822260.56,822260.56,100,https://www.esportsearnings.com/players/highest-earnings-top-300
279,Zy,"Zhang, Ye",China,CrossFire,817282.25,817282.25,100,https://www.esportsearnings.com/players/highest-earnings-top-300
280,m0NESY,Ilya Osipov,Russian Federation,Counter-Strike 2,814767.61,413650,50.77,https://www.esportsearnings.com/players/highest-earnings-top-300
281,Mlan,"Peng, Junlan",China,Arena of Valor,814686.3300000001,814686.3300000001,100,https://www.esportsearnings.com/players/highest-earnings-top-300
282,Acorn,Abdullah Akhras,Canada,Fortnite,813977.39,813977.39,100,https://www.esportsearnings.com/players/highest-earnings-top-300
283,GuardiaN,Ladislav KovÃ¡cs,Slovakia,Counter-Strike: Global Offensive,812938.1799999999,802535.9500000001,98.72,https://www.esportsearnings.com/players/highest-earnings-top-300
284,magixx,Boris Vorobiev,Russian Federation,Counter-Strike 2,811501.66,588650,72.54,https://www.esportsearnings.com/players/highest-earnings-top-300
285,Bengi,"Bae, Seong Ung","Korea, Republic of",League of Legends,810882.8400000001,810882.8400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-300
286,SonicFox,Dominique Mclean,United States,Mortal Kombat X,809747.54,253343.6,31.29,https://www.esportsearnings.com/players/highest-earnings-top-300
287,MieRo,Matvey Vasyunin,Russian Federation,Dota 2,807151.6,807151.6,100,https://www.esportsearnings.com/players/highest-earnings-top-300
288,rOtK,"Bai, Fan",China,Dota 2,800232.07,780046.75,97.48,https://www.esportsearnings.com/players/highest-earnings-top-300
289,INnoVation,"Lee, Shin Hyung","Korea, Republic of",StarCraft II,799192.66,795694.9600000001,99.56,https://www.esportsearnings.com/players/highest-earnings-top-300
290,tarik,Tarik Celik,United States,Counter-Strike: Global Offensive,797339.21,791539.21,99.27,https://www.esportsearnings.com/players/highest-earnings-top-300
291,Peanut,"Han, Wang Ho","Korea, Republic of",League of Legends,793351.93,793351.93,100,https://www.esportsearnings.com/players/highest-earnings-top-300
292,ZQ,"Zhang, Qian",China,CrossFire,792838.7699999999,792838.7699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-300
293,Zeus,Danylo Teslenko,Ukraine,Counter-Strike: Global Offensive,792585.87,689568.7,87,https://www.esportsearnings.com/players/highest-earnings-top-300
294,Shaiiko,Stephane Lebleu,France,Rainbow Six Siege,792541.49,790685.2,99.77,https://www.esportsearnings.com/players/highest-earnings-top-300
295,Lethul,Tony Campbell,United States,Halo 5: Guardians,792021.25,583850,73.72,https://www.esportsearnings.com/players/highest-earnings-top-300
296,Arkhram,Diego Lima,United States,Fortnite,791861.6799999999,791861.6799999999,100,https://www.esportsearnings.com/players/highest-earnings-top-300
297,donk,Danil Kryshkovets,Russian Federation,Counter-Strike 2,791619.6,749350,94.66,https://www.esportsearnings.com/players/highest-earnings-top-300
298,Vejrgang,Anders Vejrgang,Denmark,EA Sports FC 24,790987.09,417632.37,52.8,https://www.esportsearnings.com/players/highest-earnings-top-300
299,Adou,"Jiang, Tao",China,Arena of Valor,788982.06,788982.06,100,https://www.esportsearnings.com/players/highest-earnings-top-300
300,flyfly,"Jin, Zhiyi",China,Dota 2,787184.65,787184.65,100,https://www.esportsearnings.com/players/highest-earnings-top-300
301,Moon,"Jang, Jae Ho","Korea, Republic of",WarCraft III,782559.43,565029.52,72.2,https://www.esportsearnings.com/players/highest-earnings-top-400
302,CoreJJ,"Jo, Yong In","Korea, Republic of",League of Legends,782465.3600000001,782465.3600000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
303,Jwei,"Yang, Jiawei",China,CrossFire,775697.7699999999,775697.7699999999,100,https://www.esportsearnings.com/players/highest-earnings-top-400
304,Cold,Joshua Butler,United States,Fortnite,770425,770425,100,https://www.esportsearnings.com/players/highest-earnings-top-400
305,Jame,Dzhami Ali,Russian Federation,Counter-Strike: Global Offensive,770327.22,607867.72,78.91000000000001,https://www.esportsearnings.com/players/highest-earnings-top-400
306,Caps,Rasmus Borregaard Winther,Denmark,League of Legends,767619.8400000001,767619.8400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
307,Atomic,Massimo Franceschi,United States,Rocket League,766518.72,766518.72,100,https://www.esportsearnings.com/players/highest-earnings-top-400
308,TeSeS,RenÃ© Madsen,Denmark,Counter-Strike: Global Offensive,764790.92,540740.92,70.7,https://www.esportsearnings.com/players/highest-earnings-top-400
309,f0rest,Patrik Lindberg,Sweden,Counter-Strike: Global Offensive,763991.04,571133.7799999999,74.76,https://www.esportsearnings.com/players/highest-earnings-top-400
310,Kismet,Matthew Tinsley,United States,Call of Duty: Modern Warfare II,763833.3300000001,370500,48.51,https://www.esportsearnings.com/players/highest-earnings-top-400
311,neo,Filip Kubski,Poland,Counter-Strike: Global Offensive,762311.73,617331.01,80.98,https://www.esportsearnings.com/players/highest-earnings-top-400
312,Brollan,Ludvig Brolin,Sweden,Counter-Strike 2,762025.8400000001,399800,52.47,https://www.esportsearnings.com/players/highest-earnings-top-400
313,Suk,"Feng, Shujie",China,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,760414.3400000001,760414.3400000001,100,https://www.esportsearnings.com/players/highest-earnings-top-400
314,Umut,Umut GÃ¼ltekin,Germany,FIFA 22,756907.63,306001.33,40.43,https://www.esportsearnings.com/players/highest-earnings-top-400
